base,date,pay,type
2014-07-01,2014-07-02,post,first of month
2014-07-01,2014-07-01,pay,first of month
2014-07-01,2014-07-01,post,end of month
2014-07-01,2014-06-30,pay,end of month
2014-07-01,2014-06-30,pre,first of month
2014-07-01,2014-06-29,pre,end of month
2014-06-15,2014-06-14,post,middle of month
2014-06-15,2014-06-13,pay,middle of month
2014-06-15,2014-06-12,pre,middle of month
2014-06-01,2014-05-31,post,end of month
2014-06-01,2014-05-31,post,first of month
2014-06-01,2014-05-30,pay,end of month
2014-06-01,2014-05-30,pay,first of month
2014-06-01,2014-05-29,pre,end of month
2014-06-01,2014-05-29,pre,first of month
2014-05-15,2014-05-16,post,middle of month
2014-05-15,2014-05-15,pay,middle of month
2014-05-15,2014-05-14,pre,middle of month
2014-05-01,2014-05-02,post,first of month
2014-05-01,2014-05-01,pay,first of month
2014-05-01,2014-05-01,post,end of month
2014-05-01,2014-04-30,pay,end of month
2014-05-01,2014-04-30,pre,first of month
2014-05-01,2014-04-29,pre,end of month
2014-04-15,2014-04-16,post,middle of month
2014-04-15,2014-04-15,pay,middle of month
2014-04-15,2014-04-14,pre,middle of month
2014-04-01,2014-04-02,post,first of month
2014-04-01,2014-04-01,pay,first of month
2014-04-01,2014-04-01,post,end of month
2014-04-01,2014-03-31,pay,end of month
2014-04-01,2014-03-31,pre,first of month
2014-04-01,2014-03-30,pre,end of month
2014-03-15,2014-03-15,post,middle of month
2014-03-15,2014-03-14,pay,middle of month
2014-03-15,2014-03-13,pre,middle of month
2014-03-01,2014-03-01,post,end of month
2014-03-01,2014-03-01,post,first of month
2014-03-01,2014-02-28,pay,end of month
2014-03-01,2014-02-28,pay,first of month
2014-03-01,2014-02-27,pre,end of month
2014-03-01,2014-02-27,pre,first of month
2014-02-15,2014-02-15,post,middle of month
2014-02-15,2014-02-14,pay,middle of month
2014-02-15,2014-02-13,pre,middle of month
2014-02-01,2014-02-01,post,end of month
2014-02-01,2014-02-01,post,first of month
2014-02-01,2014-01-31,pay,end of month
2014-02-01,2014-01-31,pay,first of month
