ATM,Cluster
OH2924,8
OH3309,8
OH3468,8
OH3483,8
OH3487,8
OH7612,8
OH7652,8
OH7684,8
OH7783,8
OH7805,8
OH7861,8
OH7934,8
OK0008,8
OK0113,8
OK0166,8
OK0881,8
OK2047,8
OK5003,8
OR0086,9
OR0096,13
OR2310,8
OR2311,8
OR2314,8
OR2326,8
OR2328,8
OR2337,8
OR2376,8
OR2379,8
OR2403,8
TX0061,8
TX0080,8
TX0085,8
TX0103,8
TX0107,8
TX0116,8
TX0119,8
TX0161,8
TX0163,8
TX0213,8
TX0226,8
TX0261,8
TX0279,8
TX0286,8
TX0324,8
TX0338,8
TX0352,8
TX0415,8
TX0420,8
TX0429,8
TX0447,8
TX0488,8
TX0508,8
TX0517,8
TX0529,8
TX0537,8
TX0579,9
TX0582,9
TX0586,9
TX0634,8
TX0643,8
TX0648,8
TX0653,8
TX0684,8
TX0733,9
TX0813,8
TX1612,8
TX1634,8
TX2223,8
TX2225,8
TX2227,8
TX2239,8
TX2251,8
TX2258,8
TX2992,8
TX3033,8
TX3083,8
TX3092,8
TX3117,8
TX3154,8
TX3158,8
TX3162,8
TX3217,8
TX3242,8
TX3834,8
TX3877,8
TX3912,8
TX3981,8
TX3999,8
TX4109,8
TX4163,8
TX4303,8
TX4402,8
TX4540,8
TX4610,8
TX4630,8
TX6047,8
TX6068,8
TX6156,8
TX6157,8
TX6200,8
TX6224,8
TX6228,8
TX6275,8
TX6342,8
TX6347,8
TX8009,8
TX8035,8
TX8049,8
TX9252,8
UT0029,8
UT0084,8
UT0090,8
UT1106,8
UT1114,8
UT2106,8
UT2110,8
UT2115,8
UT4945,8
WA2001,8
WA2676,8
WA2689,8
WA2707,8
WA2708,8
WA2715,8
WA2744,8
WA2751,8
WA2754,8
WA2762,8
WA2769,14
WA2785,8
WA2797,8
WA2804,8
WI0009,8
WI0010,9
WI5036,8
WI5189,8
WI5263,8
WI5268,8
WV1155,8
