atm,CLUSTER
NY0873,49
NY0904,49
NY2323,49
NY2608,49
NY4597,49
NY7221,49
NY7351,49
NY9941,49
OH0006,49
OH0074,49
OH0080,49
OH3309,49
OH3395,49
OH7934,49
OK0008,49
OR0086,49
OR0096,49
TX0056,49
TX0248,49
TX0432,49
TX0488,49
TX0552,49
TX3040,49
TX3158,49
TX4225,49
TX6342,49
UT0084,49
UT0090,49
WA0229,49
WA2001,49
WA2708,49
WA2733,49
WA2785,49
WA2797,49
WA2826,49
WI0010,49
WI5036,49
WI5069,49
WI9264,49
IL0476,50
TX1612,51
IL1659,52
IL3695,52
IL4903,52
LA0078,52
TX0085,52
TX0286,52
TX0352,52
NY4566,53
CA7179,54
GA0013,54
NJ7791,54
IL0233,55
FL7679,56
AZ3966,57
AZ4919,57
AZ8447,57
CA0297,57
CA0920,57
CA1567,57
CA8444,57
CO1437,57
CO5370,57
FL0068,57
FL0168,57
FL0402,57
FL7493,57
FL7539,57
FL7615,57
FL7713,57
FL7917,57
ID1000,57
IL0062,57
IL0066,57
IL0131,57
IL0927,57
IL1046,57
IL3724,57
IL3736,57
IL4828,57
IL5601,57
IN0048,57
IN0086,57
IN1991,57
IN6578,57
KY1176,57
KY6221,57
MI0018,57
MI0251,57
MI0403,57
MI0636,57
MI0783,57
MI0982,57
NJ7071,57
NJ7261,57
NJ7891,57
NY0438,57
NY0455,57
NY0456,57
NY0475,57
NY0544,57
NY0608,57
NY3722,57
NY4721,57
OH0003,57
OH1594,57
OH2496,57
OH3468,57
OH3483,57
OH7684,57
OK0113,57
OK0166,57
OK5003,57
TX0061,57
TX0213,57
TX0508,57
TX0813,57
TX1634,57
TX3154,57
TX3217,57
TX3242,57
TX4610,57
TX6068,57
TX6156,57
TX9252,57
UT1114,57
WV1155,57
FL7441,58
NY4276,59
IL0489,60
IL3905,60
IL4778,60
LA0711,60
NY5411,60
NY7591,60
TX4540,60
WA2744,60
WI5263,60
